tropicalis sample-ids,before filtering,after filtering,reads passed filter,reads failed due to low quality,reads failed due to too many N,reads failed due to too short,reads with adapter trimmed ,bases trimmed due to adapters,
CS0044_1,"
total reads: 3543137
total bases: 531470550
Q20 bases: 518664969(97.5905%)
Q30 bases: 495253219(93.1854%)
","total reads: 3510903
total bases: 526438677
Q20 bases: 514170757(97.6696%)                  
Q30 bases: 491119901(93.291%)
",7021806,32078,30944,1446,14008,477966,
CS0044_2,"total reads: 3543137
total bases: 531470550
Q20 bases: 515046630(96.9097%)
Q30 bases: 485608178(91.3707%)
","total reads: 3510903
total bases: 526435767
Q20 bases: 511183481(97.1027%)
Q30 bases: 482243919(91.6055%)
",,,,,,,
CS0054_1,"total reads: 5393985
total bases: 809097750
Q20 bases: 791578755(97.8347%)
Q30 bases: 764336799(94.4678%)
","total reads: 5248766
total bases: 787084854
Q20 bases: 772910555(98.1991%)
Q30 bases: 749400945(95.2122%)
",10497532,286750,3688,0,26730,1050702,
CS0054_2,"total reads: 5393985
total bases: 809097750
Q20 bases: 762321732(94.2187%)
Q30 bases: 708517745(87.5689%)
","total reads: 5248766
total bases: 787084854
Q20 bases: 750983501(95.4133%)
Q30 bases: 702378839(89.238%)
",,,,,,,
CS0060_1,"total reads: 5153091
total bases: 772963650
Q20 bases: 762947564(98.7042%)
Q30 bases: 747027010(96.6445%)
","total reads: 5027147
total bases: 753560239
Q20 bases: 745756403(98.9644%)
Q30 bases: 732613112(97.2202%)
",10054294,247126,4762,0,58490,1816838,
CS0060_2,"total reads: 5153091
total bases: 772963650
Q20 bases: 736177438(95.2409%)
Q30 bases: 692195736(89.5509%)
","total reads: 5027147
total bases: 753560239
Q20 bases: 726361612(96.3906%)
Q30 bases: 686712784(91.1291%)
",,,,,,,
CS0074_1,"total reads: 8301465
total bases:1245219750
Q20 bases: 1219247377(97.9142%)
Q30 bases: 1178454156(94.6382%)
","total reads: 8078459
total bases: 1211398005
Q20 bases: 1190477774(98.2731%)
Q30 bases: 1155429145(95.3798%)
",16156918,440264,5748,0,41890,1881126,
CS0074_2,"total reads: 8301465
total bases:1245219750
Q20 bases: 1174550736(94.3248%)
Q30 bases: 1093491802(87.8152%)
","total reads: 8078459
total bases: 1211398005
Q20 bases: 1157135700(95.5207%)
Q30 bases: 1084042498(89.4869%)
",,,,,,,
CS0081_1,"total reads: 6307262
total bases: 946089300
Q20 bases: 926243473(97.9023%)
Q30 bases: 895113892(94.612%)
","total reads: 6140931
total bases: 920849929
Q20 bases: 904789416(98.2559%)
Q30 bases: 877942539(95.3405%)
",12281862,328426,4236,0,32436,1349402,
CS0081_2,"total reads: 6307262
total bases: 946089300
Q20 bases: 892949821(94.3832%)
Q30 bases: 831601527(87.8988%)
","total reads: 6140931
total bases: 920849929
Q20 bases: 879937579(95.5571%)
Q30 bases: 824533707(89.5405%)
",,,,,,,
"
CS0086_1
","total reads: 3638307
total bases: 545746050
Q20 bases: 532606453(97.5924%)
Q30 bases: 508543933(93.1833%)
","total reads: 3606192
total bases: 540716594
Q20 bases: 528158103(97.6774%)
Q30 bases: 504473063(93.2971%)
","7212384

","32238
"," 31562
",430,14804,574037,
CS0086_2,"total reads: 3638307
total bases: 545746050
Q20 bases: 527885645(96.7273%)
Q30 bases: 496550343(90.9856%)
","total reads: 3606192
total bases: 540716824
Q20 bases: 524092825(96.9256%)
Q30 bases: 493268295(91.2249%)
",,,,,,,
CS0101_1,"total reads: 4697616
total bases: 704642400
Q20 bases: 689858617(97.9019%)
Q30 bases: 666631359(94.6056%)
","total reads: 4571216
total bases: 685455787
Q20 bases: 673544164(98.2622%)
Q30 bases: 653582840(95.3501%)
",9142432,249550,3250,0,26142,1054754,
CS0101_2,"total reads: 4697616
total bases: 704642400
Q20 bases: 664354896(94.2826%)
Q30 bases: 617986704(87.7022%)
","total reads: 4571216
total bases: 685455787
Q20 bases: 654474336(95.4802%)
Q30 bases: 612636494(89.3765%)
",,,,,,,
CS0146_1,"total reads: 4032546
total bases: 604881900
Q20 bases: 590991905(97.7037%)
Q30 bases: 569669375(94.1786%)
","total reads: 3942150
total bases: 591186728
Q20 bases: 579508440(98.0246%)
Q30 bases: 560492318(94.808%)
",7884300,174092,6700,0,15444,593990,
CS0146_2,"total reads: 4032546
total bases: 604881900
Q20 bases: 575401240(95.1262%)
Q30 bases: 539468932(89.1858%)
","total reads: 3942150
total bases: 591186728
Q20 bases: 568246002(96.1195%)
Q30 bases: 535489319(90.5787%)
",,,,,,,
CS0195_1,"total reads: 5344444
total bases: 801666600
Q20 bases: 791564506(98.7399%)
Q30 bases: 775502752(96.7363%)
","total reads: 5226773
total bases: 783561484
Q20 bases: 775555328(98.9782%)
Q30 bases: 762107162(97.2619%)
",10453546,230300,5042,0,52106,1553290,
CS0195_2,"total reads: 5344444
total bases: 801666600
Q20 bases: 766517206(95.6155%)
Q30 bases: 723867399(90.2953%)
","total reads: 5226773
total bases: 783561484
Q20 bases: 757321446(96.6512%)
Q30 bases: 718685251(91.7203%)
",,,,,,,
CS0311_1,"total reads: 3832857
total bases: 574928550
Q20 bases: 559300270(97.2817%)
Q30 bases: 532001236(92.5335%)
","total reads: 3810469
total bases: 571372332
Q20 bases: 556465149(97.391%)
Q30 bases: 529580462(92.6857%)
",7620938,44096,262,418,14042,518870,
CS0311_2,"total reads: 3832857
total bases: 574928550
Q20 bases: 551911368(95.9965%)
Q30 bases: 514800501(89.5416%)
","total reads: 3810469
total bases: 571374213
Q20 bases: 549744361(96.2144%)
Q30 bases: 513140517(89.8081%)
",,,,,,,
CS0317_1,"total reads: 3236354
total bases: 485453100
Q20 bases: 477248157(98.3098%)
Q30 bases: 459633666(94.6814%)
","total reads: 3221231
total bases: 483032883
Q20 bases: 475249966(98.3887%)
Q30 bases: 457862717(94.7891%)
",6442462,29862,10,374,11588,441435,
CS0317_2,"total reads: 3236354
total bases: 485453100
Q20 bases: 470494290(96.9186%)
Q30 bases: 442206193(91.0914%)
","total reads: 3221231
total bases: 483038177
Q20 bases: 468979727(97.0896%)
Q30 bases: 441022639(91.3018%)
",,,,,,,
CS0367_1,"total reads: 5202384
total bases: 780357600
Q20 bases: 765465702(98.0917%)
Q30 bases: 741328602(94.9986%)
","total reads: 4990712
total bases: 748347863
Q20 bases: 737423183(98.5402%)
Q30 bases: 718485818(96.0096%)
",9981424,419442,3902,0,27284,1048200,
CS0367_2,"total reads: 5202384
total bases: 780357600
Q20 bases: 728604564(93.368%)
Q30 bases: 676077976(86.6369%)
","total reads: 4990712
total bases: 748347863
Q20 bases: 712592496(95.2221%)
Q30 bases: 667650375(89.2166%)
",,,,,,,
CS0424_1,"total reads: 3805955
total bases: 570893250
Q20 bases: 557661418(97.6823%)
Q30 bases: 533020952(93.3661%)
","total reads: 3773970
total bases: 565893631
Q20 bases: 553198974(97.7567%)
Q30 bases: 528913028(93.4651%)
",7547940,30582,32850,538,13958,497695,
CS0424_2,"total reads: 3805955
total bases: 570893250
Q20 bases: 553182255(96.8977%)
Q30 bases: 521516266(91.3509%)
","total reads: 3773970
total bases: 565893661
Q20 bases: 549357417(97.0779%)
Q30 bases: 518181448(91.5687%)
",,,,,,,
CS0426_1,"total reads: 7744305
total bases: 1161645750
Q20 bases: 1130570794(97.3249%)
Q30 bases: 1075981001(92.6256%)
","total reads: 7684499
total bases: 1152246230
Q20 bases: 1122725861(97.438%)
Q30 bases: 1069055965(92.7802%)
",15368998,90868,27754,990,30924,1119118,
CS0426_2,"total reads: 7744305
total bases: 1161645750
Q20 bases: 1119716773(96.3906%)
Q30 bases: 1049738356(90.3665%)
","total reads: 7684499
total bases: 1152251802
Q20 bases: 1113320738(96.6213%)
Q30 bases: 1044521753(90.6505%)
",,,,,,,
CS0470_1,"total reads: 4362776
total bases: 654416400
Q20 bases: 640431457(97.863%)
Q30 bases: 618526629(94.5158%)
","total reads: 4262458
total bases: 639179854
Q20 bases: 627568962(98.1835%)
Q30 bases: 608295235(95.1681%)
",8524916,195408,5228,0,22640,"
 825592",
CS0470_2,"total reads: 4362776
total bases: 654416400
Q20 bases: 620437149(94.8077%)
Q30 bases: 579628739(88.5719%)
","total reads: 4262458
total bases: 639179854
Q20 bases: 612465816(95.8206%)
Q30 bases: 575226365(89.9944%)
",,,,,,,
CS0709_1,"total reads: 4722316
total bases: 708347400
Q20 bases: 693002879(97.8338%)
Q30 bases: 669038140(94.4506%)
","total reads: 4607758
total bases: 690951191
Q20 bases: 678326247(98.1728%)
Q30 bases: 657364358(95.139%)
",9215516,223650,5466,0,24810,936848,
CS0709_2,"total reads: 4722316
total bases: 708347400
Q20 bases: 670557065(94.665%)
Q30 bases: 625597946(88.318%)
","total reads: 4607758
total bases: 690951191
Q20 bases: 661478985(95.7345%)
Q30 bases: 620604763(89.8189%)
",,,,,,,
CS0748_1,"total reads: 5053681
total bases: 758052150
Q20 bases: 741873895(97.8658%)
Q30 bases: 716531408(94.5227%)
","total reads: 4929723
total bases: 739211791
Q20 bases: 725929385(98.2032%)
Q30 bases: 703830026(95.2136%)
",9859446,241666,6250,0,28806,1161922,
CS0748_2,"total reads: 5053681
total bases: 758052150
Q20 bases: 717831419(94.6942%)
Q30 bases: 670115133(88.3996%)
","total reads: 4929723
total bases: 739211791
Q20 bases: 708015815(95.7798%)
Q30 bases: 664704980(89.9208%)
",,,,,,,
CS0789_1,"total reads: 4055557
total bases: 608333550
Q20 bases: 591443525(97.2236%)
Q30 bases: 562345700(92.4404%)
","total reads: 4030501
total bases: 604369699
Q20 bases: 588292292(97.3398%)
Q30 bases: 559649411(92.6005%)
",8061002,49322,294,496,14582,544779,
CS0789_2,"total reads: 4055557
total bases: 608333550
Q20 bases: 583332750(95.8903%)
Q30 bases: 543357626(89.319%)
","total reads: 4030501
total bases: 604374196
Q20 bases: 580917865(96.1189%)
Q30 bases: 541505588(89.5977%)
",,,,,,,
CS0791_1,"total reads: 4402715
total bases: 660407250
Q20 bases: 648276046(98.1631%)
Q30 bases: 628738727(95.2047%)
","total reads: 4330696
total bases: 649439303
Q20 bases: 638954160(98.3855%)
Q30 bases: 621236752(95.6574%)
",8661392,142454,1584,0,17284,700974,
CS0791_2,"total reads: 4402715
total bases: 660407250
Q20 bases: 634225446(96.0355%)
Q30 bases: 602700899(91.262%)
","total reads: 4330696
total bases: 649439303
Q20 bases: 628450912(96.7682%)
Q30 bases: 599457027(92.3038%)
",,,,,,,
CS0923_1,"total reads: 3629804
total bases: 544470600
Q20 bases: 534722352(98.2096%)
Q30 bases: 514239236(94.4476%)
","total reads: 3614059
total bases: 541936035
Q20 bases: 532665267(98.2893%)
Q30 bases: 512421766(94.5539%)
",7228118,"31234
"," 2
","254

",12684,458606,
CS0923_2,"total reads: 3629804
total bases: 544470600
Q20 bases: 529278378(97.2097%)
Q30 bases: 499895543(91.8131%)
","total reads: 3614059
total bases: 541943988
Q20 bases: 527674890(97.3671%)
Q30 bases: 498626884(92.0071%)
",,,,,,,
CS0943_1,"total reads: 5355022
total bases: 803253300
Q20 bases: 786447221(97.9077%)
Q30 bases: 759978197(94.6125%)
","total reads: 5235440
total bases: 785063082
Q20 bases: 771047593(98.2147%)
Q30 bases: 747685232(95.2389%)
",10470880,232716,6448,0,29232,1029072,
CS0943_2,"total reads: 5355022
total bases: 803253300
Q20 bases: 761950114(94.858%)
Q30 bases: 712074853(88.6489%)
","total reads: 5235440
total bases: 785063082
Q20 bases: 752394156(95.8387%)
Q30 bases: 706776058(90.0279%)
",,,,,,,
CS0948_1,"total reads: 7209142
total bases: 1081371300
Q20 bases: 1058140800(97.8518%)
Q30 bases: 1021836589(94.4945%)
","total reads: 7024200
total bases: 1053288182
Q20 bases: 1034340585(98.2011%)
Q30 bases: 1002865736(95.2129%)
",14048400,361360,8524,0,39692,1476228,
CS0948_2,"total reads: 7209142
total bases: 1081371300
Q20 bases: 1021721312(94.4839%)
Q30 bases: 951534871(87.9934%)
","total reads: 7024200
total bases: 1053288182
Q20 bases: 1007162893(95.6208%)
Q30 bases: 943593959(89.5855%)
",,,,,,,
CS1155_1,"total reads: 4108111
total bases: 616216650
Q20 bases: 598981164(97.203%)
Q30 bases: 569226492(92.3744%)
","total reads: 4086037
total bases: 612658134
Q20 bases: 596133403(97.3028%)
Q30 bases: 566779729(92.5116%)
",8172074,43282,268,598,"
18182",627168,
CS1155_2,"total reads: 4108111
total bases: 616216650
Q20 bases: 592932031(96.2214%)
Q30 bases: 554561743(89.9946%)
","total reads: 4086037
total bases: 612663927
Q20 bases: 590735433(96.4208%)
Q30 bases: 552859176(90.2386%)
",,,,,,,
CS1178_1,"total reads: 3849948
total bases: 577492200
Q20 bases: 564186642(97.696%)
Q30 bases: 539457068(93.4137%)
","total reads: 3815149
total bases: 572037400
Q20 bases: 559337158(97.7798%)
Q30 bases: 535004089(93.5261%)
",7630298,"35168
","33608
","822
"," 16000
",616217,
CS1178_2,"total reads: 3849948
total bases: 577492200
Q20 bases: 558486404(96.7089%)
Q30 bases: 525166447(90.9391%)
","total reads: 3815149
total bases: 572038628
Q20 bases: 554354939(96.9087%)
Q30 bases: 521593432(91.1815%)
",,,,,,,
CS1278_1,"total reads: 6119343
total bases: 917901450
Q20 bases: 898285068(97.8629%)
Q30 bases: 867598758(94.5198%)
","total reads: 5969822
total bases: 895161001
Q20 bases: 879054241(98.2007%)
Q30 bases: 852287475(95.2105%)
",11939644,291520,7522,0,40482,1160440,
CS1278_2,"total reads: 6119343
total bases: 917901450
Q20 bases: 868958179(94.6679%)
Q30 bases: 810809591(88.333%)
","total reads: 5969822
total bases: 895161001
Q20 bases: 857121194(95.7505%)
Q30 bases: 804324439(89.8525%)
",,,,,,,
CS1315_1,"total reads: 7161303
total bases: 1074195450
Q20 bases: 1044832397(97.2665%)
Q30 bases: 993403640(92.4789%)
","total reads: 7102430
total bases: 1064959597
Q20 bases: 1037110381(97.385%)
Q30 bases: 986601004(92.6421%)
",14204860,90270,26174,1302,29070,1093146,
CS1315_2,"total reads: 7161303
total bases: 1074195450
Q20 bases: 1032012693(96.0731%)
Q30 bases: 963274110(89.674%)
","total reads: 7102430
total bases: 1064961543
Q20 bases: 1025753177(96.3183%)
Q30 bases: 958190350(89.9742%)
",,,,,,,
CS1452_1,"total reads: 4351991
total bases: 652798650
Q20 bases: 637478032(97.6531%)
Q30 bases: 613731026(94.0154%)
","total reads: 4091687
total bases: 613642538
Q20 bases: 603359496(98.3243%)
Q30 bases: 585794687(95.4619%)
",8183374,520608,0,0,11198,544010,
CS1452_2,"total reads: 4351991
total bases: 652798650
Q20 bases: 596576312(91.3875%)
Q30 bases: 539882673(82.7028%)
","total reads: 4091687
total bases: 613642538
Q20 bases: 577611439(94.1283%)
Q30 bases: 530668323(86.4784%)
",,,,,,,
CS1477_1,"total reads: 3999737
total bases: 599960550
Q20 bases: 588958527(98.1662%)
Q30 bases: 570796710(95.139%)
","total reads: 3862855
total bases: 578980541
Q20 bases: 570656625(98.5623%)
Q30 bases: 555750396(95.9878%)
",7725710,272158,1606,0,53186,1437810,
CS1477_2,"total reads: 3999737
total bases: 599960550
Q20 bases: 565031493(94.1781%)
Q30 bases: 524828653(87.4772%)
","total reads: 3862855
total bases: 578980541
Q20 bases: 554969995(95.853%)
Q30 bases: 519679658(89.7577%)
",,,,,,,
CS1564_1,"total reads: 4330145
total bases: 649521750
Q20 bases: 637170323(98.0984%)
Q30 bases: 610632550(94.0126%)
","total reads: 4305721
total bases: 645604863
Q20 bases: 633975478(98.1987%)
Q30 bases: 607815060(94.1466%)
",8611442,48508,6,334,18632,841965,
CS1564_2,"total reads: 4330145
total bases: 649521750
Q20 bases: 627131417(96.5528%)
Q30 bases: 586806988(90.3445%)
","total reads: 4305721
total bases: 645607052
Q20 bases: 624736447(96.7673%)
Q30 bases: 584953541(90.6052%)
",,,,,,,
CS1565_1,"total reads: 3869208
total bases: 580381200
Q20 bases: 567796319(97.8316%)
Q30 bases: 543971676(93.7266%)
","total reads: 3848731
total bases: 577058527
Q20 bases: 565099796(97.9276%)
Q30 bases: 541601723(93.8556%)
",7697462,39994,260,700,21452,742943,
CS1565_2,"total reads: 3869208
total bases: 580381200
Q20 bases: 563412780(97.0763%)
Q30 bases: 532460532(91.7432%)
","total reads: 3848731
total bases: 577055436
Q20 bases: 561265569(97.2637%)
Q30 bases: 530764460(91.9781%)
",,,,,,,
CS1573_1,"total reads: 3653185
total bases: 547977750
Q20 bases: 537801341(98.1429%)
Q30 bases: 516311868(94.2213%)
","total reads: 3630936
total bases: 544432526
Q20 bases: 534883875(98.2461%)
Q30 bases: 513738664(94.3622%)
",7261872,44106,10,382,15694,685058,
CS1573_2,"total reads: 3653185
total bases: 547977750
Q20 bases: 527803099(96.3183%)
Q30 bases: 492279232(89.8356%)
","total reads: 3630936
total bases: 544432108
Q20 bases: 525627279(96.546%)
Q30 bases: 490609258(90.1139%)
",,,,,,,
CS1773_1,"total reads: 4571551
total bases: 685732650
Q20 bases: 671264226(97.8901%)
Q30 bases: 643309086(93.8134%)
","total reads: 4549896
total bases: 682078409
Q20 bases: 668288715(97.9783%)
Q30 bases: 640674289(93.9297%)
",9099792,42032,302,976,39450,1117066,
CS1773_2,"total reads: 4571551
total bases: 685732650
Q20 bases: 668746190(97.5229%)
Q30 bases: 636197620(92.7763%)
","total reads: 4549896
total bases: 682076217
Q20 bases: 666358689(97.6956%)
Q30 bases: 634279314(92.9924%)
",,,,,,,
CS1849_1,"total reads: 4418386
total bases: 662757900
Q20 bases: 651315463(98.2735%)
Q30 bases: 626415845(94.5165%)
","total reads: 4397278
total bases: 659276073
Q20 bases: 648484055(98.3631%)
Q30 bases: 623909317(94.6355%)
",8794556,41860,10,346,22566,994461,
CS1849_2,"total reads: 4418386
total bases: 662757900
Q20 bases: 643315151(97.0664%)
Q30 bases: 606381855(91.4937%)
","total reads: 4397278
total bases: 659279739
Q20 bases: 641128575(97.2468%)
Q30 bases: 604659301(91.7151%)
",,,,,,,
CS1861_1,"total reads: 3641368
total bases: 546205200
Q20 bases: 536936576(98.3031%)
Q30 bases: 516874969(94.6302%)
","total reads: 3623023
total bases: 543265607
Q20 bases: 534521235(98.3904%)
Q30 bases: 514733062(94.748%)
",7246046,36382,2,306,13420,601568,
CS1861_2,"total reads: 3641368
total bases: 546205200
Q20 bases: 528944684(96.8399%)
Q30 bases: 496616746(90.9213%)
","total reads: 3623023
total bases: 543267847
Q20 bases: 527131145(97.0297%)
Q30 bases: 495211168(91.1541%)
",,,,,,,
CS1864_1,"total reads: 3968606
total bases: 595290900
Q20 bases: 584185708(98.1345%)
Q30 bases: 561076634(94.2525%)
","total reads: 3952925
total bases: 592677000
Q20 bases: 582051321(98.2072%)
Q30 bases: 559195450(94.3508%)
",7905850,31144,2,216,17336,679204,
CS1864_2,"total reads: 3968606
total bases: 595290900
Q20 bases: 579335873(97.3198%)
Q30 bases: 548483692(92.1371%)
","total reads: 3952925
total bases: 592681033
Q20 bases: 577663687(97.4662%)
Q30 bases: 547156626(92.3189%)
",,,,,,,
CS1906_1,"total reads: 3238101
total bases: 485715150
Q20 bases: 477114155(98.2292%)
Q30 bases: 458738116(94.4459%)
","total reads: 3224331
total bases: 483449574
Q20 bases: 475270258(98.3081%)
Q30 bases: 457101266(94.5499%)
",6448662,27162,0,378,13564,590822,
CS1906_2,"total reads: 3238101
total bases: 485715150
Q20 bases: 473571847(97.4999%)
Q30 bases: 449578658(92.5601%)
","total reads: 3224331
total bases: 483454636
Q20 bases: 472126917(97.6569%)
Q30 bases: 448424344(92.7542%)
",,,,,,,
CS1907_1,"total reads: 4054034
total bases: 608105100
Q20 bases: 596674940(98.1204%)
Q30 bases: 572859455(94.204%)
","total reads: 4033876
total bases: 604842786
Q20 bases: 593994475(98.2064%)
Q30 bases: 570496534(94.3215%)
",8067752,39980,12,324,16470,705673,
CS1907_2,"total reads: 4054034
total bases: 608105100
Q20 bases: 588544749(96.7834%)
Q30 bases: 552464001(90.8501%)
","total reads: 4033876
total bases: 604847265
Q20 bases: 586525205(96.9708%)
Q30 bases: 550895286(91.0801%)
",,,,,,,
CS2093_1,"total reads: 3575737
total bases: 536360550
Q20 bases: 527027922(98.26%)
Q30 bases: 506398303(94.4138%)
","total reads: 3556052
total bases: 533258710
Q20 bases: 524445063(98.3472%)
Q30 bases: 504098013(94.5316%)
",7112104,38864,4,502,10580,476761,
CS2093_2,"total reads: 3575737
total bases: 536360550
Q20 bases: 517820487(96.5434%)
Q30 bases: 483989462(90.2358%)
","total reads: 3556052
total bases: 533259710
Q20 bases: 515892313(96.7432%)
Q30 bases: 482498946(90.481%)
",,,,,,,
CS2182_1,"total reads: 4548290
total bases: 682243500
Q20 bases: 670577574(98.2901%)
Q30 bases: 645016267(94.5434%)
","total reads: 4529526
total bases: 679173644
Q20 bases: 668059606(98.3636%)
Q30 bases: 642784007(94.6421%)
",9059052,37258,10,260,18642,756449,
CS2182_2,"total reads: 4548290
total bases: 682243500
Q20 bases: 662208368(97.0633%)
Q30 bases: 623622507(91.4076%)
","total reads: 4529526
total bases: 679175816
Q20 bases: 660275857(97.2172%)
Q30 bases: 622100965(91.5965%)
",,,,,,,
CS2189_1,"total reads: 3502816
total bases: 525422400
Q20 bases: 516165586(98.2382%)
Q30 bases: 496817912(94.5559%)
","total reads: 3488335
total bases: 523048399
Q20 bases: 514252969(98.3184%)
Q30 bases: 495134968(94.6633%)
",6976670,28720,16,226,13980,575061,
CS2189_2,"total reads: 3502816
total bases: 525422400
Q20 bases: 511378811(97.3272%)
Q30 bases: 484013430(92.1189%)
","total reads: 3488335
total bases: 523055204
Q20 bases: 509865158(97.4783%)
Q30 bases: 482806147(92.305%)
",,,,,,,
